storyId,phase,cond,text,audioFile
2,take2,indirect,Kristoff said that I could put my flowers in the vase too.,audio/2_take2_indirect.wav
2,end,na,We ran home to show everyone our vase full of beautiful flowers.,audio/2_end.wav
3,hi,na,"Yo ho, I'm Jake! I'm going to tell you about the day I made some cookies.",audio/3_hi.wav
3,friends,na,My friends Izzy and Cubby came over to help.,audio/3_friends.wav
3,decide1,na,We had to decide how we would decorate the cookies.,audio/3_decide1.wav
3,give1,indirect,I said that Cubby could add the sprinkles. ,audio/3_give1_indirect.wav
3,give1,direct,"I said, ""Cubby can add the sprinkles.""",audio/3_give1_direct.wav
3,give2,indirect,Izzy said that I could spread the icing. ,audio/3_give2_indirect.wav
3,give2,direct,"Izzy said, ""I can spread the icing.""",audio/3_give2_direct.wav
3,distribute,na,"When we were done, we each had a cookie. They all looked delicious! ",audio/3_distribute.wav
3,decide2,na,We talked about who should put their cookie in the jar to save for later. ,audio/3_decide2.wav
3,take1,na,I put my cookie in the jar.,audio/3_take1.wav
3,still,na,There was still room for more cookies in the jar.,audio/3_still.wav
3,take2,direct,"Izzy said, ""Cubby can put his cookie in the jar too."" ",audio/3_take2_direct.wav
3,take2,indirect,Izzy said that Cubby could put his cookie in the jar too.,audio/3_take2_indirect.wav
3,end,na,Then we shared the last cookie. I couldn't wait to eat the rest later!,audio/3_end.wav
4,hi,na,"Hi, I'm Dora! This story is about one time when I went to the park.",audio/4_hi.wav
4,friends,na,My friends Boots and Swiper came with me.,audio/4_friends.wav
4,decide1,na,We brought some toys to ride. We talked about who would get to ride first.,audio/4_decide1.wav
4,give1,indirect,I said that Swiper could ride the bike. ,audio/4_give1_indirect.wav
4,give1,direct,"I said, ""Swiper can ride the bike.""",audio/4_give1_direct.wav
4,give2,indirect,Boots said that I could ride the scooter. ,audio/4_give2_indirect.wav
4,give2,direct,"Boots said, ""I can ride the scooter.""",audio/4_give2_direct.wav
4,distribute,na,"After we rode around for a while, we decided to help clean up the park. We each found some trash to throw away.",audio/4_distribute.wav
4,decide2,na,"We made a fun game of tossing the trash into the trash can, like basketball. We decided to take turns.",audio/4_decide2.wav
4,take1,indirect,Swiper said that Boots could throw his trash first. ,audio/4_take1_indirect.wav
4,take1,direct,"Swiper said, ""Boots can throw his trash first.""",audio/4_take1_direct.wav
4,still,na,It was a perfect shot: the trash went right into the can!,audio/4_still.wav
4,take2,na,I threw my trash next.,audio/4_take2.wav
4,end,na,"That was a good shot too! After we were done playing, I put the rest of the trash in a bag to throw away when we got home.",audio/4_end.wav
5,hi,na,"Hi, I'm Mickey! I'm going to tell you about drawing pictures at school.",audio/5_hi.wav
5,friends,na,My friends Minnie and Donald were there.,audio/5_friends.wav
5,decide1,na,We talked about who would find the art supplies we needed.,audio/5_decide1.wav
5,give1,na,I found some paper.,audio/5_give1.wav
5,give2,direct,"Minnie said, ""Donald has the crayons."" ",audio/5_give2_direct.wav
5,give2,indirect,Minnie said that Donald had the crayons. ,audio/5_give2_indirect.wav
5,distribute,na,We each drew a really nice picture. ,audio/5_distribute.wav
5,decide2,na,We talked about pinning some of the pictures on the bulletin board.,audio/5_decide2.wav
5,take1,direct,"I said, ""Donald can put his picture on the bulletin board."" ",audio/5_take1_direct.wav
5,take1,indirect,I said that Donald could put his picture on the bulletin board.,audio/5_take1_indirect.wav
5,still,na,There was room for one more picture.,audio/5_still.wav
5,take2,direct,"Minnie said, ""I can put my picture on the bulletin board too."" ",audio/5_take2_direct.wav
5,take2,indirect,Minnie said that I could put my picture on the bulletin board too.,audio/5_take2_indirect.wav
5,end,na,We took the other picture home to show our parents.,audio/5_end.wav
6,hi,na,"Hi, I'm Kristoff! I'm going to tell you a story about the day I went to the lake.",audio/6_hi.wav
6,friends,na,My friends Elsa and Anna came with me.,audio/6_friends.wav
6,decide1,na,"Before we started our trip, we had to decide who would carry the supplies.",audio/6_decide1.wav
6,give1,direct,"I said, ""Anna can carry the boat."" ",audio/6_give1_direct.wav
6,give1,indirect,I said that Anna could carry the boat.,audio/6_give1_indirect.wav
6,give2,direct,"Elsa said, ""I can hold the camera."" ",audio/6_give2_direct.wav
6,give2,indirect,Elsa said that I could hold the camera.,audio/6_give2_indirect.wav
6,distribute,na,"When we got to the lake, we each got a float to stay safe in the water.",audio/6_distribute.wav
6,decide2,na,Suddenly we noticed that there was a tiger drowning in the lake! We had to decide what we could do to help.,audio/6_decide2.wav
6,take1,na,I threw my float to the tiger.,audio/6_take1.wav
6,still,na,"It looked like the tiger was still struggling, and needed more help.",audio/6_still.wav
6,take2,direct,"Anna said, ""Elsa can throw her float to the tiger too!"" ",audio/6_take2_direct.wav
6,take2,indirect,Anna said that Elsa could throw her float to the tiger too.,audio/6_take2_indirect.wav
6,end,na,The tiger swam to shore with the help of the floats. I was so happy that he was safe!,audio/6_end.wav
7,hi,na,"Hi, I'm Izzy! This story is about the day I went to a farm.",audio/7_hi.wav
7,friends,na,My friends Cubby and Jake came with me.,audio/7_friends.wav
7,decide1,na,We had to decide who would bring the food for the animals.,audio/7_decide1.wav
7,give1,indirect,Cubby said that Jake could carry the corn. ,audio/7_give1_indirect.wav
7,give1,direct,"Cubby said, ""Jake can carry the corn.""",audio/7_give1_direct.wav
7,give2,na,I carried the hay.,audio/7_give2.wav
7,distribute,na,We went to see the sheep first. We each took some corn to feed him. ,audio/7_distribute.wav
7,decide2,na,We decided to take turns feeding the sheep.,audio/7_decide2.wav
7,take1,indirect,I said that Jake could give his corn to the sheep first. ,audio/7_take1_indirect.wav
7,take1,direct,"I said, ""Jake can give his corn to the sheep first.""",audio/7_take1_direct.wav
7,still,na,The sheep still looked really hungry! ,audio/7_still.wav
7,take2,indirect,Cubby said that I could give corn to the sheep next. ,audio/7_take2_indirect.wav
7,take2,direct,"Cubby said, ""I can give corn to the sheep next!""",audio/7_take2_direct.wav
7,end,na,After that we went to find the next animal. We fed every animal on the farm that day!,audio/7_end.wav
8,hi,na,"Hi, I'm Swiper! This story is about playing with legos.",audio/8_hi.wav
8,friends,na,My friends Dora and Boots came over to my house to play.,audio/8_friends.wav
8,decide1,na,"We needed a lot of legos, so we looked everywhere for them. ",audio/8_decide1.wav
8,give1,indirect,Dora said that Boots could look in the toy box. ,audio/8_give1_indirect.wav
8,give1,direct,"Dora said, ""Boots can look in the toy box.""",audio/8_give1_direct.wav
8,give2,na,I looked in the toy bucket.,audio/8_give2.wav
8,distribute,na,"We finally found enough Legos, and we each took some.",audio/8_distribute.wav
8,decide2,na,We built a really cool house. We talked about who should build the roof.,audio/8_decide2.wav
8,take1,indirect,I said that Dora could put some legos on top. ,audio/8_take1_indirect.wav
8,take1,direct,"I said, ""Dora can put some legos on top.""",audio/8_take1_direct.wav
8,still,na,But Dora didn't have enough legos to finish the roof.,audio/8_still.wav
8,take2,indirect,Boots said that I could put some legos on too. ,audio/8_take2_indirect.wav
8,take2,direct,"Boots said, ""I can put some legos on too.""",audio/8_take2_direct.wav
8,end,na,"The house was all finished, and we had a great time playing with it!",audio/8_end.wav
